"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"8/19/2016","Transfer to 8572","ACH HOLD CITI AUTOPAY PAYMENT ON 08/19","284.05","debit","Credit Card Payment","Regular Checking","",""
"8/19/2016","Lenwich By Lenny","LENWICH BY LENNY'S","10.95","debit","Uncategorized","Quicksilver","",""
"8/19/2016","Amazon","AMAZON MKTPLACE PMTS","38.98","debit","Shopping","Quicksilver","",""
"8/18/2016","Cafe","CAFE 86","11.87","debit","Restaurants","Quicksilver","",""
"8/17/2016","Amazon","Amazon.com AMZN.COM/BILL WA","43.81","debit","Shopping","8572","",""
"8/19/2016","Hamptons Weekend","Hamptons Weekend","369.04","credit","Income","Venmo","",""
"8/18/2016","Hamptons Weekend","Hamptons weekend","194.01","credit","Income","Venmo","",""
"8/18/2016","Revamped Hamptons Bill","Revamped Hamptons bill","31.33","credit","Income","Venmo","",""
"8/18/2016","Transfer from Regular Checking","AUTOPAY 999990000004498RAUTOPAY AUTO-PMT","284.05","credit","Credit Card Payment","8572","",""
"8/17/2016","Num Pang Sandwich Shop","NUM PANG SANDWICH SHOP","12.53","debit","Fast Food","Quicksilver","",""
"8/17/2016","Dos Toros May","Dos Toros- May 2016","10.75","debit","Restaurants","Quicksilver","",""
"8/17/2016","Nyc Taxi H","NYC TAXI 2H59 LONG ISLAND C NY","19.30","debit","Rental Car & Taxi","8572","",""
"8/17/2016","Chipotle","CHIPOTLE 1928","9.00","debit","Fast Food","Sapphire","",""
"8/16/2016","Seamlssopaithai","SEAMLSSOPAITHAI","24.41","debit","Restaurants","Quicksilver","",""
"8/16/2016","Consolidated Edison","CON ED OF NY DES:INTELL CK ID:XXXXX1116666092 INDN:CORBIN PAGE CO...","226.58","debit","Utilities","Regular Checking","",""
"8/15/2016","Hamptons Hotel","Hamptons  hotel","204.65","credit","Income","Venmo","",""
"8/15/2016","MTA","MTA MVM*R164-86 ST","80.00","debit","Train/Subway","Quicksilver","",""
"8/15/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Quicksilver","",""
"8/15/2016","Key Food","KEY FOOD 1584","58.42","debit","Groceries","Quicksilver","",""
"8/15/2016","Montauk Beer & Soda","MONTAUK BEER & SODA","19.95","debit","Alcohol & Bars","Sapphire","",""
"8/15/2016","Goldberg's Famous Bagels","GOLDBERGS FAMOUS BAGELS O","10.85","debit","Restaurants","Sapphire","",""
"8/15/2016","Montauk Beer & Soda","MONTAUK BEER & SODA","21.22","debit","Alcohol & Bars","Sapphire","",""
"8/15/2016","Bkofamerica Mobile Deposit","BKOFAMERICA MOBILE 08/16 3469643998 DEPOSIT *MOBILE NC","83.53","credit","Income","Regular Checking","",""
"8/14/2016","Gatorades","Gatorades","8.45","debit","Uncategorized","Venmo","",""
"8/14/2016","Air Speed","AIR & SPEED","34.76","debit","Sporting Goods","Quicksilver","",""
"8/14/2016","Lirrnytickets","LIRRNYTICKETS","20.50","debit","Train Travel","Quicksilver","",""
"8/14/2016","Moe's Southwest Grill","MOES SOUTHWEST GRILL","8.70","debit","Restaurants","Quicksilver","",""
"8/14/2016","Montauk Coffee Corp","SQ *MONTAUK COFFEE CORP L","5.00","debit","Coffee Shops","Quicksilver","",""
"8/14/2016","Montauk Coffee Corp","SQ *MONTAUK COFFEE CORP L","5.00","debit","Coffee Shops","Sapphire","",""
"8/14/2016","Montauk Coffee Corp","SQ *MONTAUK COFFEE CORP L","5.00","debit","Coffee Shops","Sapphire","",""
"8/14/2016","Sloppy Tuna","SLOPPY TUNA","99.65","debit","Alcohol & Bars","Sapphire","",""
"8/13/2016","Montauk Beer & Soda","MONTAUK BEER & SODA","19.85","debit","Alcohol & Bars","Quicksilver","",""
"8/13/2016","Makespace Com","MAKESPACE.COM","31.03","debit","Home Supplies","Quicksilver","",""
"8/13/2016","7-Eleven","7-ELEVEN 34532","15.70","debit","Fast Food","Quicksilver","",""
"8/12/2016","Transfer from Venmo","VENMO-0 DES:CASHOUT ID:XXXXX5686 INDN:CORBIN PAGE CO ID:XXXXX81992 PPD","2700.00","credit","Transfer","Regular Checking","",""
"8/12/2016","Transfer to Regular Checking","CASHED OUT","2700.00","debit","Transfer","Venmo","",""
"8/11/2016","ATM Withdrawal","BKOFAMERICA ATM 08/11 #000005903 WITHDRWL BROADWAY & WEST NEW YORK NY","200.00","debit","Cash & ATM","Regular Checking","",""
"8/11/2016","Uber","UBER   *US AUG10 VL7HF","6.17","debit","Rental Car & Taxi","Sapphire","",""
"8/11/2016","For Jimmy V","for Jimmy V Classic","57.00","debit","Sports","Venmo","",""
"8/11/2016","Champions","for Champions Classic","75.00","debit","Sports","Venmo","",""
"8/10/2016","Trumpclimber","#TrumpClimber","30.00","debit","Alcohol & Bars","Venmo","",""
"8/10/2016","For Chips N","for 1/2 chips'n'guac plus 1/3 bottle wine","13.50","debit","Alcohol & Bars","Venmo","",""
"8/10/2016","Dos Toros May","Dos Toros- May 2016","9.75","debit","Restaurants","Sapphire","",""
"8/10/2016","Carnegie Deli","CARNEGIE DELI","43.53","debit","Restaurants","Sapphire","",""
"8/09/2016","The Gin Mill","THE GIN MILL","34.22","debit","Alcohol & Bars","Sapphire","",""
"8/08/2016","Duane Reade","DUANE READE #14366","31.95","debit","Pharmacy","Quicksilver","",""
"8/08/2016","Fred's Restaurant","FRED'S RESTAURANT","93.50","debit","Restaurants","Sapphire","",""
"8/08/2016","Jpmorgan Chase Des","JPMorgan Chase DES:Ext Trnsfr ID:XXXXX32537 INDN:NAVIGATOR LABS, LLC...","13708.00","credit","Income","Regular Checking","",""
"8/07/2016","Nyc Lpep Taxi","NYC LPEP TAXI LONG ISLAND C NY","18.30","debit","Rental Car & Taxi","8572","",""
"8/07/2016","Google Storage","GOOGLE *Google Storage","1.99","debit","Internet","Freedom","",""
"8/07/2016","Pier A","PIER A","46.60","debit","Alcohol & Bars","Sapphire","",""
"8/07/2016","Bar Bacon","BAR BACON","82.68","debit","Alcohol & Bars","Sapphire","",""
"8/07/2016","Key Food","KEY FOOD 1584","11.37","debit","Groceries","Sapphire","",""
